id,workstream_id,assignee_id,name,description,status,priority,estimated_effort_weeks,estimated_start,estimated_end,actual_start,actual_end
1,1,1,Design setup wizard flow,Define steps and screens,done,medium,2,2026-09-01,2026-09-14,2026-09-01,2026-09-12
2,1,2,Implement wizard backend,APIs for setup state,in_progress,high,3,2026-09-15,2026-10-05,2026-09-16,
3,1,4,Wizard UI screens,Build the front-end screens,in_progress,medium,3,2026-09-20,2026-10-15,2026-09-22,
4,2,4,Checklist UX design,Design the checklist component,not_started,low,1.5,2026-10-01,2026-10-12,,
5,2,2,Checklist API,Track completion server-side,not_started,low,2,2026-10-13,2026-10-27,,
6,3,3,Batch ingestion jobs,Nightly batch loaders,in_progress,high,4,2026-09-15,2026-10-20,2026-09-15,
7,3,3,Streaming connector,Kafka streaming ingestion,blocked,high,3,2026-10-21,2026-11-15,,
8,3,2,Ingestion monitoring,Alerting and dashboards,not_started,medium,1.5,2026-11-16,2026-11-30,,
9,4,2,Core dimensional model,Design fact and dim tables,not_started,medium,3,2026-11-01,2026-12-01,,
10,4,3,Marts for onboarding,Analytics marts for onboarding funnel,not_started,low,2,2026-12-02,2026-12-20,,
