id,entity_type,entity_id,previous_status,status,estimated_start,estimated_end,status_update,changed_by_id,changed_at,note
1,task,1,,not_started,2026-09-01,2026-09-14,Initial estimate: design the setup wizard flow end to end.,1,2026-08-25T10:00:00,
2,task,1,not_started,in_progress,2026-09-01,2026-09-14,Kicked off design work.,1,2026-09-01T09:00:00,
3,task,1,in_progress,done,2026-09-01,2026-09-14,Wrapped up 2 days early; stakeholders signed off during review.,1,2026-09-12T16:00:00,
4,task,2,,not_started,2026-09-15,2026-10-05,Initial estimate for setup wizard backend APIs.,2,2026-08-25T10:05:00,
5,task,2,not_started,in_progress,2026-09-16,2026-10-05,Started a day late due to environment setup issues.,2,2026-09-16T09:30:00,
6,task,3,,not_started,2026-09-20,2026-10-08,Initial estimate for wizard UI screens.,4,2026-08-25T10:10:00,
7,task,3,not_started,in_progress,2026-09-22,2026-10-08,Started 2 days late; waiting on design handoff.,4,2026-09-22T09:00:00,
8,task,3,in_progress,in_progress,2026-09-22,2026-10-15,Added extra screens for edge cases flagged in design review; extended estimate by a week.,4,2026-09-29T14:00:00,
9,task,4,,not_started,2026-10-01,2026-10-12,Initial estimate for checklist UX design.,4,2026-08-25T10:15:00,
10,task,5,,not_started,2026-10-13,2026-10-27,Initial estimate for checklist completion API.,2,2026-08-25T10:20:00,
11,task,6,,not_started,2026-09-15,2026-10-06,Initial estimate: 3 weeks for the batch ingestion pipeline.,3,2026-08-25T10:25:00,
12,task,6,not_started,in_progress,2026-09-15,2026-10-06,Started ingestion pipeline work.,3,2026-09-15T09:00:00,
13,task,6,in_progress,in_progress,2026-09-15,2026-10-20,Discovered additional source systems need onboarding; revised estimate from 3 to 5 weeks total effort.,3,2026-09-29T11:00:00,
14,task,7,,not_started,2026-10-15,2026-11-05,Initial estimate; planned to start right after the batch pipeline.,3,2026-08-25T10:30:00,
15,task,7,not_started,blocked,2026-10-21,2026-11-15,Blocked waiting on Kafka cluster provisioning from infra; pushed start by a week and padded the estimate for onboarding complexity.,3,2026-10-20T15:00:00,
16,task,8,,not_started,2026-11-16,2026-11-30,Initial estimate for ingestion monitoring and alerting.,2,2026-08-25T10:35:00,
17,task,9,,not_started,2026-11-01,2026-12-01,Initial estimate for core dimensional model design.,2,2026-08-25T10:40:00,
18,task,10,,not_started,2026-12-02,2026-12-20,Initial estimate for onboarding funnel marts.,3,2026-08-25T10:45:00,
